Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.2754267,81.027,6.864,4.08,74.81,885.3072658,896.8,120.5,88.9,145.8,926.5,8.76,18.73,1
106.2729563,80.617,6.864,3.2,74.83,908.6,918.2,116.9,106.4820279,146,920.2,8.85,18.73,1
105.711,80.819,6.916,3.35,74.81,928.7,945,112.4,101.3,147.1,903,8.73,18.84,1
105.963,81.193,6.968,3.17,74.8,908.8,923.4,116.3,106.9,147.7,925.7,8.86,18.71,1
105.902,81.027,6.864,3.19,74.81,903.1,919.9,116.9,106.5,147,926.5,8.81,18.76,1
105.902,81.058,6.864,4.08,74.83,880.2743074,902.4492777,104.6,104.9,145.8,930.5,8.84,18.98,1
105.505,81.437,6.864,3.16,74.83,885.3145682,935.9,120.5,104.3,147,933.1,8.81,18.72,1
106.2743771,80.617,6.864,3.16,74.82,879.2377801,902.4543685,120.5,104.3,146.7,922.3,8.83,18.71,1
106.237,81.437,6.864,3.178709769,74.82,903.1,918.2,104.6,104.9,146.1,933.1,8.68,18.75,1
105.944,80.411,6.864,4.08,74.81,919.3508019,938.2,118.4,106.4787355,147,874.6,8.85,18.75,1
105.505,81.437,6.864,3.18685442,74.81,879.0771621,926.3,104.6,106.4241989,146,926.5,8.85,18.73,1
106.2759371,81.058,6.864,3.22,74.83,903.1,938.2,118.4,104.9,146,930.5,8.8,18.72,1
105.902,81.058,6.968,3.82,74.82,919.9105404,896.8,120.5,106.4896229,147,922.3,8.85,18.73,1
106.4495726,80.617,6.864,3.187274391,74.82,885.6876207,902.7797941,120.5,88.9,147,933.1,8.68,18.73,1
105.505,81.027,6.864,3.22,74.82,884.8991136,904,113.9,104.9,148.1,920.2,8.83,18.76,1
105.449,81.343,6.864,3.188421831,74.82,908.6,895.3,120.5,107.8,147.6,926.5,8.83,18.8,1
105.449,81.362,6.864,3.190067536,74.83,903.1,918.2,120.5,106.4808419,145.6,937.7,8.85,18.75,1
106.4642729,80.411,6.864,3.189914086,74.82,908.6,918.2,120.5,106.486451,148.1,882.3,8.76,18.77,1
105.944,81.343,6.968,3.187706628,74.83,920.0399698,902.3469021,113.9,107.3,145.9,874.6,8.8,18.73,1
106.237,81.058,7.228,3.191239253,74.81,901.6,919.9,120.5,106.3198888,145.9,937.7,8.76,18.76,1
106.323,81.027,6.864,3.19303922,74.81,879.6542523,896.8,107.3,106.2,146,937.7,8.85,18.75,1
105.449,81.471,6.864,3.189983442,74.82,879.6379776,904,120.5,106.2,148.1,923.9,8.76,18.76,1
106.318,81.354,6.864,3.19,74.8,913.4,929.5,120.5,105.5,146.9,923.7,8.84,18.73,1
105.902,81.162,6.864,3.22,74.82,903.1,896.8,127.3,106.3912226,146,874.6,8.81,18.72,1
105.944,80.411,6.864,3.16,74.81,920.839839,926.3,120.5,104.3,145.9,920.2,8.68,18.77,1
106.4927372,81.362,6.864,3.82,74.82,901.6,902.061429,104.6,106.4450571,148.1,926.5,8.82,18.72,1
105.902,81.437,6.864,3.16,74.81,901.6,902.2872668,120.5,106.3788288,146.1,937.7,8.85,18.77,1
106.4608372,80.411,6.864,3.2,74.83,908.6,935.9,120.5,88.9,147.6,917.5,8.85,18.75,1
106.323,81.471,6.864,4.08,74.82,879.514535,904,104.6,106.2,148.1,937.7,8.82,18.89,1
105.699,80.762,6.864,3.4,74.82,927.6,946.5,120.2,100.3,146.2,904.2,8.75,18.81,1
106.326,81.523,6.968,3.15,74.8,883,899,116.3,104.3,145.8,927.3,8.84,18.73,1
105.866,81.023,6.864,3.18,74.84,905.3,920.4,116.3,105.7,145.5,919.9,8.83,18.73,1
106.4732573,81.027,6.864,3.22,74.82,901.6,896.8,118.4,88.9,145.6,933.1,8.84,18.73,1
106.323,81.027,6.864,4.08,74.82,920.4672027,926.3,120.5,88.9,145.9,923.9,8.85,18.71,1
106.2747053,80.617,6.864,3.22,74.82,903.1,902.5504538,116.9,107.8,146.1,917.5,8.59,18.76,1
105.505,80.617,7.124,4.08,74.82,908.6,938.2,120.5,107.8,147,923.9,8.85,18.77,1
106.237,81.402,6.864,3.2,74.81,879.4671076,938.2,116.9,106.5797003,145.9,882.3,8.82,18.75,1
106.371,81.413,6.968,3.17,74.83,883.7,901.1,115.1,105,147.6,921.8,8.82,18.75,1
106.323,81.362,6.968,3.82,74.83,919.7246799,938.2,120.5,93.1,146.7,933.1,8.8,18.72,1
106.323,81.058,6.968,3.22,74.81,920.1446043,935.9,127.3,93.1,146,922.3,8.84,18.73,1
106.006,81.035,7.124,3.19,74.82,909,922.3,114.8,105.3,145.7,930.6,8.79,18.77,1
105.944,81.162,6.864,3.22,74.81,903.1,902.1419352,104.6,106.2,147,922.3,8.85,18.71,1
105.449,81.402,7.228,3.16,74.82,908.6,935.9,116.9,106.7,145.8,874.6,8.84,18.77,1
106.323,81.362,6.864,4.08,74.81,908.6,895.3,104.6,106.3700684,145.9,926.5,8.85,18.76,1
106.4646166,81.471,6.968,3.16,74.82,886.9,904,113.9,104.3,147,882.3,8.83,18.73,1
106.414,81.411,7.124,3.18,74.81,881,897.7,115.4,105.6,145.2,926.1,8.82,18.75,1
105.488,80.519,6.864,3.83,74.83,919.1,936.5,107.9,90.2,146.6,895.5,8.77,18.79,1
106.323,80.617,6.864,3.181149015,74.82,903.1,895.3,120.5,88.9,146.7,917.5,8.59,18.77,1
106.2758604,81.437,7.124,3.186472338,74.82,901.6,896.8,120.5,106.2,146.7,937.7,8.85,18.76,1
106.323,81.058,6.864,3.16,74.82,908.6,938.2,116.9,104.9,147,933.1,8.81,18.77,1
106.323,81.343,6.864,3.181642016,74.81,919.7276783,918.2,118.4,104.3,146.1,933.1,8.82,18.71,1
106.237,81.402,6.864,3.193873344,74.81,920.0222593,895.3,113.9,106.5051361,146,920.2,8.85,18.73,1
106.4704957,81.362,7.124,3.184944029,74.83,885.2382244,902.0833827,113.9,104.9,147,923.9,8.85,18.8,1
106.2724057,81.402,6.864,4.08,74.83,903.1,901.9317186,113.9,88.9,147.6,923.9,8.84,18.73,1
105.902,81.437,6.864,3.16,74.83,908.6,902.5867476,118.4,106.5250965,146.7,922.3,8.76,18.77,1
105.449,81.058,6.968,3.16,74.82,885.6472582,903.0205743,116.9,107.8,147.6,930.5,8.85,18.73,1
106.275,81.437,6.968,3.16,74.83,885.6,902.2,120.5,106.4,148.1,933.1,8.85,18.71,1
105.944,80.411,6.864,3.22,74.82,885.5080782,938.2,113.9,104.3,145.8,917.5,8.85,18.73,1
105.944,80.617,6.968,3.190302023,74.82,908.6,902.6608198,127.3,104.9,145.9,926.5,8.85,18.73,1
105.944,81.402,6.968,3.184915632,74.82,901.6,926.3,127.3,104.9,146.1,922.3,8.76,18.8,1
106.4941613,81.362,6.864,3.82,74.83,886.9,938.2,120.5,104.9,146.7,917.5,8.8,18.73,1
106.5119377,80.411,7.124,3.195730736,74.81,908.6,902.3813247,120.5,106.2,148.1,930.5,8.82,18.71,1
106.2743594,81.437,7.228,3.179682348,74.82,885.7651417,902.1490641,120.5,93.1,146.7,923.9,8.59,18.76,1
106.4866271,81.437,6.864,3.16,74.83,908.6,938.2,120.5,107.8,145.6,920.2,8.59,18.72,1
105.449,81.437,6.864,3.180664848,74.81,885.5982951,895.3,104.6,106.7,145.9,920.2,8.8,18.73,1
106.323,80.617,6.864,3.198243094,74.83,919.9743942,918.2,127.3,106.2,146.7,937.7,8.8,18.72,1
106.323,81.471,7.124,3.186283726,74.83,920.0266554,938.2,104.6,93.1,147,882.3,8.8,18.76,1
105.944,81.162,7.124,4.08,74.82,919.7647661,926.3,107.3,107.8,146.7,917.5,8.84,18.71,1
106.4542176,81.402,6.864,3.16,74.83,901.6,896.8,107.3,88.9,146.7,920.2,8.84,18.77,1
106.453006,81.162,6.864,3.16,74.83,885.5490019,895.3,127.3,106.7,145.6,926.5,8.83,18.76,1
106.258,81.149,6.864,3.17,74.83,909,925.8,116,106.5,145.9,923.1,8.87,18.7,1
105.31,80.133,6.968,4.56,74.83,917.1,929.9,104.6,84,147.4,839,8.5,19.06,1
105.65,80.701,6.864,3.46,74.83,925.6,944.1,115.1,98.3,146.8,897.6,8.76,18.81,1
105.505,81.437,6.864,3.1895368,74.82,885.7451406,935.9,127.3,107.8,145.8,923.9,8.76,18.73,1
105.902,81.027,6.864,3.82,74.83,920.0545311,938.2,120.5,106.2,146.1,917.5,8.85,18.76,1
106.273568,80.617,6.864,3.22,74.82,886.9,904,120.5,106.7,147,933.1,8.59,18.73,1
105.902,81.437,6.968,4.08,74.81,879.066526,935.9,118.4,106.4721911,145.6,922.3,8.81,18.77,1
106.2755922,81.471,6.968,3.2,74.83,901.6,902.1828224,120.5,93.1,145.6,922.3,8.84,18.73,1
106.2754708,81.402,6.864,3.186054701,74.82,919.4079018,938.2,127.3,88.9,145.8,923.9,8.81,18.77,1
106.4737195,81.437,6.864,3.82,74.81,885.465392,902.8309952,127.3,107.8,146.7,933.1,8.76,18.72,1
106.324,81.326,6.968,3.17,74.8,885.7,900.7,116.6,106,146.3,927,8.83,18.74,1
106.105,81.342,6.864,3.22,74.81,909.9,929.5,122.9,105.1,146,920.5,8.86,18.7,1
106.4540029,81.058,7.228,3.2,74.81,901.6,935.9,113.9,93.1,147.6,930.5,8.83,18.73,1
105.505,81.362,6.864,3.16,74.83,885.3835821,904,107.3,107.3,146,933.1,8.84,18.75,1
105.449,81.162,7.124,3.82,74.82,908.6,919.9,107.3,104.9,147.6,923.9,8.85,18.98,1
106.4546299,81.162,7.124,3.190732395,74.81,879.9526895,904,120.5,106.5359501,148.1,922.3,8.82,18.76,1
106.2728123,81.362,6.864,3.16,74.82,908.6,895.3,120.5,106.7,148.1,926.5,8.68,18.75,1
106.2741465,80.617,6.968,3.16,74.81,908.6,919.9,120.5,106.3702384,147,930.5,8.84,18.71,1
106.4465792,80.617,6.864,4.08,74.83,879.9506064,935.9,113.9,106.7,145.6,882.3,8.85,18.77,1
105.962,81.137,6.968,3.19,74.8,911.4,924.9,117.8,104,145.4,935.6,8.86,18.71,1
106.04,81.081,6.968,3.17,74.8,907,925.1,115.4,105.2,145.7,937.5,8.91,18.65,1
106.4491022,80.411,7.228,3.18879421,74.82,919.4585055,895.3,113.9,88.9,145.9,930.5,8.8,18.75,1
105.944,80.411,6.864,3.16,74.83,919.83965,902.7470721,120.5,93.1,145.9,917.5,8.68,18.77,1
105.902,81.402,6.864,4.08,74.82,908.6,895.3,120.5,88.9,147,882.3,8.83,18.98,1
106.474,81.398,6.968,3.22,74.8,879.3,896.1,113.3,102.7,145.6,930.6,8.82,18.75,1
106.2726835,81.362,6.968,3.16,74.82,885.11522,935.9,118.4,107.8,147.6,926.5,8.85,18.75,1
106.2738016,81.027,6.968,3.82,74.82,879.3634548,895.3,127.3,88.9,146,933.1,8.85,18.73,1
106.4427191,81.471,7.228,3.16,74.83,903.1,935.9,113.9,104.9,147.6,874.6,8.81,18.98,1
106.2768347,81.362,6.864,3.19059892,74.83,920.1083233,919.9,120.5,104.9,146.1,874.6,8.76,18.71,1
105.944,81.362,6.968,3.186088751,74.81,920.214345,926.3,104.6,107.8,146.1,937.7,8.8,18.73,1
105.902,81.402,6.968,3.82,74.82,901.6,938.2,120.5,107.8,146.1,917.5,8.84,18.77,1
105.944,81.362,6.864,4.08,74.82,920.3159759,904,104.6,93.1,147.6,917.5,8.59,18.72,1
106.424,81.382,6.968,3.2,74.83,883,897.7,119.3,104.8,145.2,921.1,8.81,18.75,1
105.902,81.162,6.864,3.16,74.83,885.6531199,918.2,107.3,104.3,147,923.9,8.83,18.71,1
105.902,81.343,6.864,3.186416488,74.83,901.6,938.2,104.6,106.5319745,146.7,922.3,8.8,18.73,1
106.4688831,81.471,6.864,3.82,74.83,908.6,918.2,116.9,106.4181502,148.1,882.3,8.85,18.73,1
105.944,80.411,7.124,3.182186777,74.82,908.6,918.2,120.5,93.1,147.6,937.7,8.68,18.8,1
106.237,81.027,6.864,3.182242303,74.83,920.6524239,918.2,120.5,104.3,146.7,874.6,8.85,18.89,1
106.237,81.027,6.968,3.22,74.81,880.2913458,926.3,107.3,107.8,146.7,930.5,8.59,18.8,1
106.2751909,80.617,6.864,3.16,74.83,919.9111724,919.9,120.5,107.3,145.8,920.2,8.81,18.72,1
106.2728827,80.411,6.968,3.16,74.81,884.7113785,919.9,118.4,106.5036353,147.6,922.3,8.8,18.8,1
106.319,81.389,6.968,3.19,74.81,885.9,902.9,119.3,103.9,146.2,931.1,8.82,18.75,1
106.4438565,80.411,6.864,3.185705288,74.82,908.6,935.9,104.6,106.4830775,145.9,930.5,8.81,18.73,1
105.902,81.471,6.864,3.16,74.83,901.6,904,127.3,106.3961406,145.8,926.5,8.68,18.75,1
105.944,81.058,6.864,4.08,74.82,885.9688789,904,127.3,106.3367743,147,920.2,8.59,18.73,1
106.237,81.162,7.228,3.16,74.83,901.6,904,120.5,106.4939766,146.1,882.3,8.82,18.8,1
106.012,81.151,6.968,3.16,74.81,907.7,925.2,115.4,106.4,146.3,927.1,8.87,18.7,1
106.2738015,80.617,6.864,3.188311378,74.83,878.7879946,896.8,118.4,106.7,147,926.5,8.84,18.89,1
105.944,81.402,6.864,4.08,74.81,879.4116568,904,118.4,93.1,146.1,923.9,8.8,18.73,1
105.902,81.027,7.124,3.188897425,74.82,908.6,904,104.6,106.4137891,146.1,922.3,8.76,18.73,1
106.237,81.437,6.864,3.187348778,74.81,908.6,938.2,120.5,107.3,145.9,882.3,8.68,18.73,1
105.449,81.162,7.228,3.190391607,74.81,901.6,919.9,120.5,88.9,145.9,930.5,8.84,18.8,1
105.505,81.027,6.864,3.180290956,74.82,908.6,935.9,120.5,106.2,145.9,882.3,8.83,18.89,1
106.459,81.534,6.968,3.18,74.8,880,898.3,118.7,106,145.2,924.6,8.81,18.76,1
106.406,81.536,6.968,3.22,74.81,882.1,899.2,119.6,105.1,145.5,920,8.84,18.73,1
105.449,80.617,7.124,3.22,74.81,885.7077705,926.3,120.5,93.1,147.6,937.7,8.8,18.73,1
105.902,81.343,6.864,3.188508753,74.83,903.1,896.8,120.5,104.9,145.8,922.3,8.76,18.77,1
106.275136,81.402,6.968,3.190415536,74.82,908.6,904,118.4,106.7,145.6,933.1,8.85,18.71,1
105.944,81.027,6.864,3.82,74.83,921.1716181,904,120.5,88.9,147.6,937.7,8.59,18.75,1
106.4561798,80.411,6.864,3.18499256,74.82,903.1,902.8691262,107.3,104.9,147,930.5,8.82,18.75,1
105.902,81.343,6.968,3.82,74.83,879.8904867,902.2506268,118.4,104.9,145.9,926.5,8.76,18.76,1
106.237,81.437,7.124,3.82,74.82,903.1,935.9,118.4,107.8,146.1,874.6,8.83,18.98,1
105.944,81.402,7.228,4.08,74.82,885.2738699,919.9,120.5,104.3,145.6,926.5,8.85,18.98,1
106.2714479,80.617,6.864,4.08,74.81,881.1231019,902.6341284,116.9,107.3,148.1,923.9,8.82,18.73,1
106.323,81.343,6.864,3.16,74.82,919.8156932,902.8524062,120.5,88.9,147,920.2,8.82,18.72,1
105.902,81.162,6.864,3.2,74.81,919.6976306,919.9,107.3,93.1,145.6,926.5,8.81,18.72,1
106.237,81.471,6.864,3.16,74.82,908.6,902.384292,116.9,107.8,146,926.5,8.82,18.71,1
105.902,80.411,6.968,3.181746371,74.83,920.010835,918.2,116.9,104.9,147,920.2,8.85,18.77,1
106.274587,80.411,6.864,4.08,74.83,885.2848992,903.1863988,104.6,106.7,147.6,922.3,8.68,18.89,1
105.505,81.343,6.864,3.205435152,74.83,919.9218877,918.2,120.5,104.9,146.1,882.3,8.85,18.73,1
106.323,80.617,6.864,3.189277032,74.82,886.9,904,107.3,88.9,148.1,882.3,8.76,18.73,1
106.4272138,81.027,6.864,3.22,74.83,885.5530687,935.9,120.5,106.4518229,145.8,926.5,8.85,18.71,1
106.323,80.617,6.864,3.16,74.82,885.3491144,895.3,127.3,93.1,145.9,933.1,8.83,18.73,1
106.323,81.471,6.864,3.16,74.82,885.4009998,895.3,116.9,93.1,146,923.9,8.76,18.8,1
106.4579363,81.437,6.864,3.2,74.82,879.6050121,918.2,120.5,106.4886617,147,926.5,8.8,18.71,1
105.505,81.362,6.864,4.08,74.83,908.6,926.3,113.9,107.8,147,922.3,8.81,18.73,1
105.944,80.411,7.228,3.194066999,74.82,885.4864422,926.3,113.9,106.5432269,145.8,874.6,8.82,18.76,1
106.4764082,81.058,6.864,3.186532341,74.83,901.6,919.9,113.9,104.3,148.1,930.5,8.82,18.72,1
105.944,81.058,6.864,3.19,74.82,901.6,918.2,120.5,107.8,146.1,922.3,8.84,18.73,1
105.505,80.617,7.124,3.187184394,74.83,920.6732838,896.8,120.5,106.413112,146.7,917.5,8.85,18.76,1
106.2755675,80.617,6.864,3.185791604,74.83,919.5347756,904,120.5,106.3946733,146,926.5,8.81,18.76,1
106.4707986,81.162,6.864,3.199749492,74.81,920.5600996,935.9,127.3,104.3,145.9,930.5,8.8,18.75,1
106.237,81.437,6.968,4.08,74.82,920.8115763,938.2,107.3,106.7,145.8,930.5,8.84,18.98,1
106.072,81.242,6.968,3.19,74.8,908.4,927.5,118.7,105.5,145.5,928,8.81,18.75,1
105.944,81.362,6.864,3.171081645,74.82,885.5742131,919.9,120.5,88.9,146.7,874.6,8.68,18.73,1
106.2726173,81.162,7.228,3.180203509,74.83,885.0171142,918.2,118.4,106.2,147,933.1,8.81,18.77,1
106.4840927,81.027,7.228,3.22,74.81,885.3352966,926.3,120.5,93.1,146.1,926.5,8.85,18.73,1
106.2733723,80.617,6.864,3.190858547,74.83,903.1,926.3,120.5,107.3,148.1,920.2,8.76,18.77,1
105.944,80.411,6.864,3.2,74.82,908.6,896.8,127.3,106.42455,145.6,930.5,8.85,18.98,1
106.4582322,81.343,6.864,3.2,74.83,885.2367504,938.2,127.3,88.9,146,930.5,8.8,18.98,1
105.944,81.362,6.968,3.16,74.82,885.3241459,895.3,116.9,106.4576447,146.7,882.3,8.82,18.76,1
105.449,80.411,6.864,3.182203072,74.83,885.7066065,926.3,127.3,104.9,147.6,937.7,8.82,18.8,1
106.237,80.411,7.228,4.08,74.81,885.8863563,919.9,113.9,106.356078,145.9,933.1,8.59,18.73,1
106.2741178,81.402,7.124,3.82,74.81,880.3883548,919.9,120.5,104.9,147,923.9,8.68,18.89,1
105.449,81.058,6.968,3.185569899,74.83,903.1,904,118.4,107.8,147,882.3,8.59,18.72,1
105.505,81.343,6.968,3.22,74.82,879.5888493,896.8,107.3,106.5095813,145.8,920.2,8.82,18.75,1
106.2749399,81.343,6.968,3.193730431,74.82,920.3853756,919.9,104.6,106.7,147.6,937.7,8.84,18.76,1
105.944,81.027,6.864,3.188066833,74.81,920.182532,918.2,116.9,104.3,146.1,937.7,8.59,18.71,1
106.281,81.43,6.864,3.23,74.8,912.7,928.4,117.2,103.2,146.5,925.2,8.82,18.75,1
106.4624212,80.617,6.968,3.22,74.81,903.1,926.3,120.5,107.3,146,933.1,8.8,18.89,1
106.237,81.162,6.864,3.185950422,74.83,908.6,904,120.5,93.1,145.8,937.7,8.85,18.76,1
105.902,81.027,6.968,3.183856833,74.82,903.1,935.9,118.4,107.8,145.9,930.5,8.83,18.77,1
106.4648544,81.437,6.968,3.197084137,74.81,903.1,904,120.5,106.5303255,145.6,922.3,8.85,18.75,1
105.449,81.162,6.968,3.18073877,74.81,886.9,938.2,120.5,107.8,147.6,922.3,8.59,18.75,1
106.277,81.464,7.124,3.16,74.81,883.2,900,117.5,106.6,145.9,926.2,8.85,18.72,1
106.2755386,81.343,6.864,4.08,74.81,879.5421498,926.3,104.6,106.7,148.1,882.3,8.76,18.76,1
106.323,81.058,6.864,3.188001607,74.82,879.0289531,896.8,104.6,107.8,146.7,937.7,8.8,18.75,1
106.2762072,81.437,6.864,3.187952891,74.83,885.3152332,902.1262944,127.3,107.3,147,917.5,8.84,18.77,1
106.4719169,81.027,6.864,3.2,74.82,919.688037,938.2,127.3,106.492142,147,882.3,8.85,18.89,1
106.445478,81.362,6.864,3.19786824,74.83,878.8438012,938.2,120.5,104.9,147,920.2,8.8,18.75,1
106.4605881,81.437,6.864,3.198863133,74.81,878.8286026,904,116.9,106.2,145.8,933.1,8.83,18.8,1
105.505,80.617,6.864,3.193920854,74.82,885.1037817,919.9,113.9,104.9,148.1,930.5,8.68,18.75,1
105.505,80.617,6.864,3.82,74.81,919.7,938.2,104.6,93.1,147.6,882.3,8.68,18.89,1
106.295,81.343,6.968,3.19,74.8,886.7,902.4,116.3,104.2,145.3,921,8.84,18.73,1
105.449,80.617,6.864,3.2,74.81,908.6,919.9,107.3,107.8,148.1,930.5,8.82,18.76,1
105.449,81.437,6.864,3.182712521,74.82,903.1,919.9,120.5,104.9,148.1,933.1,8.81,18.98,1
105.902,80.411,6.968,3.16,74.82,903.1,896.8,113.9,106.2,146.7,920.2,8.68,18.76,1
105.902,80.411,6.968,3.18562868,74.82,885.3945704,896.8,120.5,104.3,147,937.7,8.8,18.73,1
106.478,81.362,6.968,3.22,74.82,879.1,895.3,120.5,104.3,145.6,917.5,8.8,18.77,1
106.323,81.437,6.968,3.179555414,74.81,901.6,938.2,127.3,106.7,145.6,917.5,8.76,18.89,1
105.505,81.362,6.864,3.193339617,74.83,903.1,902.4669277,120.5,107.3,145.8,933.1,8.84,18.77,1
105.944,81.362,7.124,3.187043744,74.81,919.6162597,902.4097502,120.5,106.5570621,147,882.3,8.76,18.73,1
105.449,80.411,7.228,4.08,74.83,908.6,904,118.4,106.2,148.1,917.5,8.85,18.73,1
105.505,81.058,7.124,3.16,74.83,920.3568616,918.2,116.9,93.1,147.6,922.3,8.68,18.73,1
106.4694567,81.362,6.864,3.188458876,74.82,901.6,919.9,127.3,104.3,145.8,937.7,8.85,18.72,1
106.2738611,80.617,7.124,3.22,74.81,919.8368116,926.3,104.6,107.8,145.9,874.6,8.59,18.75,1
106.4888755,81.162,6.864,3.16,74.81,901.6,896.8,127.3,106.4176423,146.1,923.9,8.83,18.72,1
106.4622063,81.058,6.968,3.22,74.83,901.6,919.9,104.6,104.3,147,923.9,8.76,18.76,1
106.4583623,81.027,6.864,3.22,74.83,901.6,918.2,104.6,106.7,147,930.5,8.84,18.76,1
105.902,80.617,6.864,3.192600423,74.82,908.6,938.2,120.5,104.3,146.1,882.3,8.82,18.8,1
106.4640778,81.402,6.968,4.08,74.81,885.5756217,919.9,120.5,106.2,146.1,920.2,8.85,18.72,1
105.902,81.058,6.864,3.190208612,74.81,908.6,918.2,120.5,106.2,147.6,920.2,8.76,18.72,1
106.323,81.027,6.864,3.183568625,74.83,885.8526801,904,120.5,106.7,145.8,926.5,8.81,18.71,1
105.645,80.753,6.864,3.46,74.81,925.6,943.1,118.7,97.9,146.6,895.8,8.76,18.81,1
106.385,81.432,7.124,3.22,74.81,880,895.5,121.7,106.1,145.9,924.8,8.79,18.78,1
105.449,81.402,6.864,3.16,74.83,879.2566393,902.6167521,120.5,107.3,146,920.2,8.68,18.71,1
106.2740505,80.617,6.864,3.82,74.82,886.9,895.3,120.5,104.9,145.8,926.5,8.76,18.71,1
105.449,81.362,6.968,3.22,74.82,908.6,902.5932936,127.3,88.9,145.9,917.5,8.85,18.75,1
105.449,81.437,6.968,3.16,74.83,908.6,918.2,120.5,107.3,147.6,937.7,8.76,18.89,1
105.902,81.162,6.864,3.16,74.81,920.254219,919.9,120.5,88.9,146.7,926.5,8.85,18.77,1
105.449,80.411,6.864,3.16,74.81,879.5796413,935.9,120.5,106.4264283,147,874.6,8.83,18.71,1
105.505,81.362,6.864,3.2,74.82,885.846167,895.3,107.3,106.4282503,148.1,922.3,8.85,18.73,1
106.2732443,81.402,7.228,4.08,74.82,884.9639698,902.9480171,120.5,106.5344377,146.1,923.9,8.83,18.89,1
106.284,81.378,6.968,3.16,74.79,884.1,902.7,124.9,105.2,148.1,920.4,8.82,18.75,1
105.791,80.5,6.968,4.06,74.82,917.7,931,113,91.4,146,858.7,8.63,18.94,1
